Species,n
Adelaide Rosella,16
AdRos,12
AMag,26
Black-faced C-shrike,2
Blackbird,6
Blbird,3
BlBird,3
BlfacCShr,2
Boobook Owl,1
Brown-headed Honeyeater,1
BrSonglark,1
CBrwing,2
Common Bronzewing,2
Crested Pigeon,2
ElEPar,2
Gal,8
Galah,4
Goldfinch,2
GolFin,8
Grey Fantail,6
Grey Shrike-thrush,2
GreyFan,1
GSTrush,2
Kookaburra,1
LilCor,1
Little Raven,3
LRav,4
MagLark,1
Magpielark,2
Mistletoebird,2
Musk Lorikeet,2
MusLor,5
New Holland Honeyeater,15
NhHe,5
NHHe,15
Rainbow Lorikeet,4
RainLor,3
Red-browed Finch,3
Red-rumped Parrot,3
Red Wattlebird,8
RedW,12
RufWh,2
Sileye,2
Silvereye,6
Sparrow,1
Star,4
Striated Pardalote,7
Striated Thornbill,1
StrPard,5
StrTbill,1
Sul-crCocka,2
Superb Fairywren,4
SupFwr,3
Welcome Swallow,1
White-plumed Honeyeater,7
WhplumHe,2
WIbis,1
Willie Wagtail,2
YelfacHe,5
Yellow-faced Honeyeater,8
Yellow-rumped Thornbill,3
Yellow-throated Miner,3
Yellow Thornbill,4
YellowTbill,2
YelrumpTbill,2
YelthrMin,1
YelThrMin,3
